,USI,Gini,Average_Trust,S_R,S_I,S_O,Total_Demand,Total_Supply
0,0.5980425992951968,0.5304034903128225,0.8996295839845259,0.02294430350908392,0.4695965096871775,1.0,516.2795703649363,500
1,0.5474869792976524,0.5185246767410212,0.6822393740544822,0.02623321987714892,0.4814753232589788,1.0,795.0497622669326,500
2,0.577633205814198,0.5171086859690031,0.8015233518946653,0.026756716990480423,0.48289131403099694,0.999361440340649,601.4533339283122,500
3,0.5582047932921375,0.5181154327229225,0.7249593143363469,0.026406351110297408,0.4818845672770775,0.9995689404448281,708.1185085447288,500
4,0.5697461771136676,0.5175239683479675,0.7702697388396433,0.02661133639110871,0.48247603165203246,0.999627601571886,639.7890452986411,500
5,0.5625817498690756,0.5178719063377024,0.7420105572281848,0.02648634626568389,0.4821280936622976,0.9997020023201362,680.241784848714,500
6,0.5669763786587427,0.5176577945235343,0.7591047710605704,0.026563202964616835,0.48234220547646567,0.9998953351333179,655.0191468982788,500
7,0.5643128839348233,0.5177846784406039,0.7485634640320262,0.02651624418760088,0.48221532155939606,0.99995650596027,670.2788722378741,500
8,0.5659529408377132,0.517706991480692,0.7549890963821223,0.02654503965435842,0.482293008519308,0.9999846187950642,660.8697501454122,500
9,0.5649528705316429,0.5177541448271867,0.7510441005979734,0.026527422962979053,0.48224585517281326,0.9999941033928061,666.6055763621634,500
10,0.5655665827568135,0.5177252535512336,0.7534555944789563,0.026538215392717588,0.48227474644876644,0.9999977747068135,663.0842137037292,500
11,0.5651913476817246,0.5177429487937248,0.7519775470434779,0.026531609313471996,0.48225705120627516,0.9999991831636734,665.236797154186,500
12,0.5654213072618933,0.5177321046940528,0.7528819886047345,0.026535655000055582,0.48226789530594716,0.9999996901368359,663.9174585478883,500
13,0.5652805794477387,0.5177387358953676,0.7523279907452535,0.02653317813330842,0.48226126410463244,0.99999988480776,664.7247902879974,500
14,0.5653667767911054,0.5177346674269143,0.7526671231544277,0.02653469482460231,0.4822653325730857,0.9999999566123056,664.2302776651347,500
15,0.5653140098356169,0.5177371542637317,0.7524594436241319,0.026533766200211407,0.4822628457362683,0.9999999837818558,664.532996851752,500
16,0.5653463238698828,0.517735627402315,0.7525865941630581,0.02653433481029437,0.48226437259768495,0.9999999939084943,664.3476165804145,500
17,0.5653265398584746,0.5177365609896607,0.7525087360470848,0.026533986657670636,0.4822634390103393,0.9999999977188037,664.4611146657043,500
18,0.5653386546496791,0.5177359871906968,0.7525564068124281,0.026534199832847244,0.4822640128093032,0.999999999144138,664.3916164094193,500
19,0.5653312370004422,0.5177363385231049,0.7525272175385421,0.026534069307055555,0.48226366147689514,0.9999999996792761,664.4341686402587,500
20,0.5653357788923683,0.5177361233756028,0.7525450898373808,0.026534149227976835,0.4822638766243972,0.9999999998797187,664.4081135019134,500
21,0.565332997931762,0.5177362551124913,0.7525341465919088,0.02653410029271599,0.48226374488750867,0.9999999999549143,664.4240668037106,500
22,0.5653347007174903,0.5177361744513107,0.7525408470824823,0.026534130255695586,0.4822638255486893,0.999999999983094,664.4142985650744,500
23,0.565333658110089,0.5177362238403149,0.7525367443775529,0.026534111909455597,0.4822637761596851,0.9999999999936622,664.4202796056272,500
24,0.565334296497445,0.5177361935996911,0.7525392564490292,0.02653412314281788,0.48226380640030886,0.9999999999976239,664.4166174194987,500
25,0.5653339056150468,0.5177362121159998,0.7525377183124168,0.026534116264660984,0.48226378788400015,0.9999999999991092,664.4188597629494,500
26,0.5653341449515565,0.51773620077853,0.75253866010895,0.026534120476139872,0.48226379922147,0.999999999999666,664.4174867803162,500
27,0.5653339984064977,0.5177362077204422,0.7525380834490956,0.02653411789746237,0.48226379227955785,0.9999999999998748,664.4183274535595,500
28,0.5653340881356945,0.51773620346993,0.7525384365363748,0.026534119476380163,0.48226379653007,0.9999999999999531,664.417812711266,500
29,0.5653340331947463,0.5177362060725081,0.7525382203418981,0.026534118509612833,0.48226379392749186,0.9999999999999825,664.4181278865902,500
30,0.5653340668349534,0.5177362044789571,0.7525383527172151,0.02653411910156204,0.4822637955210429,0.9999999999999933,664.4179349055112,500
31,0.5653340462371415,0.517736205454685,0.75253827166414,0.026534118739113047,0.482263794545315,0.9999999999999976,664.4180530673256,500
32,0.5653340588491302,0.5177362048572483,0.7525383212927307,0.026534118961039636,0.48226379514275175,0.9999999999999991,664.4179807171423,500
33,0.5653340511268415,0.5177362052230574,0.7525382909052696,0.026534118825154555,0.4822637947769426,0.9999999999999996,664.4180250169743,500
34,0.5653340558551794,0.5177362049990739,0.7525383095114347,0.02653411890835665,0.4822637950009261,0.9999999999999998,664.4179978922992,500
35,0.56533405296003,0.5177362051362189,0.7525382981189267,0.02653411885741224,0.4822637948637811,1.0,664.418014500669,500
