,USI,Gini,Average_Trust,S_R,S_I,S_O,Total_Demand,Total_Supply
0,0.5041945556797318,0.6105624300900754,0.6124738935482026,0.014866759260800198,0.3894375699099246,1.0,805.2980873829376,500
1,0.518575251392662,0.5820964181526309,0.6382119856205075,0.018185438102771363,0.4179035818473691,1.0,776.701346665589,500
2,0.5074771267548995,0.593206702485394,0.6072713367686947,0.015895571165728428,0.406793297514606,0.9999483015705689,832.586995655511,500
3,0.5129616225438449,0.592403966386976,0.6282742825626056,0.01601403346108228,0.407596033613024,0.9999621405386679,789.650396556646,500
4,0.50904577342374,0.5931978620511009,0.6135212211012709,0.015889683875109264,0.4068021379488991,0.9999700507696808,819.2953500225788,500
5,0.5117656697637769,0.592641418870419,0.623753275642326,0.015975275358333468,0.407358581129581,0.9999755469248675,798.4567664911424,500
6,0.5098618707616346,0.5930327563134936,0.6165797902720056,0.01591512713308623,0.4069672436865064,0.99998532195494,812.9194947757333,500
7,0.5111924817791503,0.5927603391656997,0.6215774081493914,0.01595664531423294,0.4072396608343003,0.9999962128186768,802.7766375733581,500
8,0.5102627567710858,0.5929515255654547,0.6180769230294968,0.015927545545672935,0.4070484744345453,0.9999980840746284,809.8460954282714,500
9,0.5109125713706159,0.592818124874894,0.6205215752896238,0.015947761491780336,0.40718187512510595,0.9999990735759531,804.893160918828,500
10,0.5104577882929774,0.5929116406808159,0.6188096384018154,0.015933609039661276,0.4070883593191841,0.9999995464112489,808.3531762554829,500
11,0.510775957104271,0.5928462829550158,0.6200068572916392,0.015943475678877893,0.40715371704498415,0.999999778401583,805.9297433738835,500
12,0.5105532020409675,0.5928920781928428,0.6191684246565535,0.015936569956113065,0.40710792180715716,0.9999998917440462,807.6248659049102,500
13,0.5107091369465132,0.5928600355850917,0.6197552421227962,0.015941394153216142,0.4071399644149083,0.9999999470951323,806.4375810724988,500
14,0.5105999334805584,0.5928824846561631,0.6193442272872121,0.015938017208574386,0.4071175153438369,0.9999999740826104,807.2686680443489,500
15,0.5106764086385804,0.592866767088384,0.6196320352364426,0.01594037909468576,0.40713323291161596,0.9999999873115776,806.6865073826583,500
16,0.510622840485259,0.5928777789782986,0.6194304217590951,0.015938725380373168,0.40712222102170137,0.9999999937798663,807.094194077553,500
17,0.510660363761111,0.5928700661881849,0.6195716414271195,0.01593988285411922,0.40712993381181506,0.9999999969513902,806.8085845457538,500
18,0.5106340758899917,0.5928754701561529,0.619472702970556,0.015939072240860455,0.40712452984384706,0.999999998504703,807.0086510778301,500
19,0.5106524930382449,0.5928716843356248,0.6195420173565186,0.015939639865487045,0.40712831566437524,0.9999999992665987,806.8684779191392,500
20,0.5106395889833846,0.5928743370367902,0.6194934510663533,0.01593924226384266,0.40712566296320984,0.9999999996401321,806.9666845777914,500
21,0.5106486305127853,0.5928724783947481,0.6195274798612184,0.015939520761259034,0.4071275216052519,0.9999999998234117,806.8978721805288,500
22,0.510642295017687,0.5928737808042941,0.6195036353077288,0.015939325653988073,0.4071262191957059,0.9999999999133253,806.9460881071858,500
23,0.5106467344667407,0.5928728681779836,0.6195203437462948,0.015939462341196378,0.40712713182201643,0.9999999999574551,806.9123016254356,500
24,0.5106436235226037,0.5928735077115763,0.6195086352515018,0.015939366571376436,0.4071264922884237,0.9999999999791134,806.9359770618236,500
25,0.5106458035550433,0.5928730595514271,0.619516840108289,0.015939433673565734,0.4071269404485729,0.9999999999897455,806.9193861605162,500
26,0.5106442758371137,0.592873373614988,0.6195110903138271,0.015939386654650885,0.40712662638501196,0.9999999999949649,806.9310125707731,500
27,0.5106453464415383,0.5928731535234062,0.6195151196903481,0.015939419601683304,0.4071268464765938,0.9999999999975278,806.922864934384,500
28,0.5106445961654175,0.5928733077637207,0.6195122959124382,0.015939396514166686,0.4071266922362793,0.9999999999987859,806.9285747370574,500
