scenario,avg_usi,std_usi,avg_gini,avg_trust,collapsed
no_policy,0.5376046956798811,0.021021087917212557,0.5261946764819,0.6523562432962194,0
pricing_only,0.5745489620278769,0.022397374222352846,0.5262144458991345,0.8000864607168758,0
subsidy_only,0.5436120929926437,0.02200650461122132,0.4947978728666696,0.642763622161271,0
cap_only,0.5391321148071695,0.021277218369924127,0.5223450059816613,0.6533156428639486,0
all_combined,0.5814738380843067,0.023686928154091978,0.49135349756074786,0.7894754889273983,0
