,USI,Gini,Average_Trust,S_R,S_I,S_O,Total_Demand,Total_Supply
0,0.5448836696503285,0.5514595689451578,0.7112341123019078,0.019760135244564228,0.4485404310548422,1.0,687.3075834419982,500
1,0.5351862724086858,0.5313143403484406,0.6567274895171518,0.015331940466031906,0.4686856596515594,1.0,777.4340339845329,500
2,0.5448601675186757,0.527959080997737,0.6918293718491774,0.015593888548876729,0.47204091900226297,0.9999764906743859,713.5822554102775,500
3,0.5384630697596314,0.5299340037410343,0.6683992508975267,0.015407878593240013,0.4700659962589657,0.9999791532887933,754.7207968981483,500
4,0.542624180826857,0.5286441602741794,0.6836287469025667,0.015529668163919458,0.4713558397258206,0.9999824685151217,727.299703042605,500
5,0.5398712701305783,0.5295003187099194,0.673551694538402,0.01544823451987023,0.4704996812900806,0.9999854701739603,745.1443322524244,500
6,0.5416726629972235,0.528942327026731,0.6801430762024241,0.015501073941087276,0.47105767297326895,0.9999888288721137,733.345772346089,500
7,0.540487197910118,0.5293110582357263,0.675798668648766,0.015466073205922623,0.47068894176427367,0.9999951080215099,741.0668767563247,500
8,0.5412662555098687,0.5290697108801676,0.6786478534761978,0.015488950509849409,0.47093028911983237,0.9999979289335953,735.979476348987,500
9,0.5407543818837823,0.5292285596051669,0.6767731280076221,0.01547386482598953,0.4707714403948331,0.9999990943066843,739.3166268280032,500
10,0.5410907523074449,0.5291243757765021,0.67800401783146,0.015483755347519293,0.47087562422349794,0.9999996118273019,737.1211261416903,500
11,0.5408697255908925,0.5291928808407047,0.6771947050590676,0.01547724618164853,0.4708071191592953,0.9999998319635583,738.5627564863142,500
12,0.5410149687449304,0.5291479067499743,0.6777263349684182,0.015481519332366776,0.47085209325002575,0.999999927428911,737.6149371597523,500
13,0.5409195243706264,0.5291774791827706,0.677376898517677,0.015478709477329137,0.4708225208172294,0.99999996867027,738.237574773217,500
14,0.5409822439246808,0.5291580541382506,0.6776064882290708,0.015480555136977402,0.47084194586174943,0.9999999864709255,737.8283300241061,500
15,0.5409410287654841,0.529170822426436,0.677455601377989,0.015479341951950918,0.470829177573564,0.9999999941584325,738.0972199805826,500
16,0.5409681125963758,0.5291624334475338,0.6775547473264909,0.015480139029047787,0.4708375665524662,0.9999999974774982,737.9205068629036,500
17,0.5409503148991754,0.5291679467674593,0.677489592273835,0.015479615179608892,0.47083205323254074,0.9999999989107169,738.0366237798397,500
18,0.5409620103545222,0.5291643240588186,0.6775324065562031,0.015479959391081448,0.47083567594118136,0.9999999995296229,737.9603163955195,500
19,0.5409543248794126,0.5291667047811504,0.6775042713155117,0.015479733186409756,0.47083329521884965,0.9999999997968794,738.0104591846894,500
20,0.5409593752603028,0.5291651403809539,0.6775227596819599,0.015479881827917288,0.47083485961904614,0.9999999999122877,737.977508111397,500
21,0.540956056486453,0.5291661684227753,0.6775106102580414,0.015479784148422208,0.4708338315772247,0.9999999999621236,737.9991611103343,500
22,0.5409582373631459,0.5291654928719005,0.677518594004922,0.015479848335917899,0.4708345071280995,0.9999999999836442,737.984932096022,500
23,0.540956804236364,0.5291659368030488,0.6775133475998032,0.015479806155764463,0.4708340631969512,0.9999999999929372,737.9942824088704,500
24,0.5409577459916809,0.5291656450829028,0.677516795179106,0.015479833873570352,0.47083435491709724,0.99999999999695,737.9881379868075,500
25,0.5409571271328812,0.5291658367827048,0.6775145296563465,0.015479815659200025,0.4708341632172952,0.999999999998683,737.9921756825556,500
26,0.5409575338056067,0.5291657108107153,0.677516018405275,0.015479827628436298,0.4708342891892847,0.9999999999994313,737.9895223744509,500
27,0.5409572665674107,0.5291657935912504,0.6775150400981006,0.015479819763038132,0.4708342064087496,0.9999999999997544,737.9912659499719,500
28,0.5409574421785298,0.5291657391934661,0.6775156829760445,0.015479824931647066,0.4708342608065339,0.9999999999998939,737.9901201877232,500
29,0.5409573267786136,0.5291657749400891,0.67751526051941,0.015479821535179298,0.4708342250599109,0.9999999999999543,737.99087310596,500
30,0.5409574026117423,0.529165751449804,0.6775155381296826,0.015479823767110244,0.47083424855019596,0.9999999999999802,737.9903783381774,500
31,0.5409573527792675,0.5291657668860577,0.6775153557027026,0.015479822300433576,0.47083423311394235,0.9999999999999916,737.9907034665114,500
32,0.5409573855258465,0.5291657567423831,0.6775154755815375,0.015479823264235455,0.4708342432576169,0.9999999999999962,737.9904898138292,500
33,0.5409573640069787,0.5291657634081308,0.6775153968051577,0.015479822630889054,0.4708342365918692,0.9999999999999984,737.990630212113,500
34,0.5409573781477437,0.529165759027846,0.6775154485717391,0.01547982304708203,0.470834240972154,0.9999999999999993,737.9905379517196,500
35,0.5409573688553759,0.5291657619062773,0.6775154145541934,0.015479822773587741,0.4708342380937227,0.9999999999999998,737.9905985790954,500
36,0.5409573749617,0.529165760014765,0.6775154369082553,0.015479822953309939,0.470834239985235,0.9999999999999998,737.9905587388266,500
37,0.5409573709490312,0.5291657612577405,0.6775154222186565,0.015479822835208504,0.4708342387422595,1.0,737.9905849191938,500
38,0.5409573735858896,0.5291657604409399,0.6775154318716813,0.015479822912816885,0.4708342395590601,1.0,737.990567715202,500
39,0.540957371853122,0.529165760977687,0.677515425528357,0.01547982286181783,0.47083423902231303,1.0,737.9905790205183,500
40,0.5409573729917813,0.5291657606249729,0.6775154296967668,0.01547982289533101,0.4708342393750271,1.0,737.9905715914183,500
41,0.5409573722435304,0.5291657608567526,0.6775154269575658,0.015479822873308374,0.4708342391432474,1.0,737.9905764733271,500
42,0.540957372735231,0.5291657607044415,0.6775154287575857,0.015479822887780187,0.47083423929555845,1.0,737.9905732652625,500
43,0.5409573724121182,0.5291657608045301,0.6775154275747326,0.015479822878270278,0.47083423919546985,1.0,737.9905753733887,500
44,0.5409573726244463,0.5291657607387592,0.677515428352025,0.01547982288451954,0.4708342392612408,1.0,737.9905739880687,500
45,0.5409573724849185,0.5291657607819795,0.6775154278412405,0.01547982288041295,0.4708342392180205,1.0,737.9905748984087,500
46,0.5409573725766069,0.5291657607535778,0.677515428176894,0.01547982288311152,0.4708342392464222,1.0,737.9905743001939,500
47,0.5409573725163552,0.5291657607722418,0.6775154279563246,0.015479822881338192,0.47083423922775824,1.0,737.9905746933009,500
48,0.5409573725559488,0.5291657607599765,0.6775154281012682,0.015479822882503515,0.47083423924002354,1.0,737.9905744349776,500
49,0.5409573725299304,0.5291657607680371,0.6775154280060208,0.015479822881737751,0.4708342392319629,1.0,737.9905746047301,500
