step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
4,4,1,0.8843,0.0053,0.9876,0.5548,"['drought', 'economic_crisis']",Mangaluru,exp5a_shock_nopolicy
5,5,1,0.8802,0.0064,0.9602,0.5672,"['drought', 'economic_crisis']",Mangaluru,exp5a_shock_nopolicy
6,6,1,0.8844,0.0026,0.9616,0.5789,['economic_crisis'],Mangaluru,exp5a_shock_nopolicy
7,7,1,0.8331,0.0174,0.9641,0.3861,"['flood', 'economic_crisis']",Mangaluru,exp5a_shock_nopolicy
8,8,1,0.8363,0.0115,0.9639,0.3935,['flood'],Mangaluru,exp5a_shock_nopolicy
9,9,1,0.8412,0.0072,0.9703,0.4021,['flood'],Mangaluru,exp5a_shock_nopolicy
10,10,1,0.8486,0.006,0.9861,0.415,['flood'],Mangaluru,exp5a_shock_nopolicy
11,11,1,0.846,0.0107,0.967,0.428,[],Mangaluru,exp5a_shock_nopolicy
12,12,1,0.8496,0.0108,0.9679,0.4412,[],Mangaluru,exp5a_shock_nopolicy
13,1,2,0.853,0.0111,0.9687,0.4545,[],Mangaluru,exp5a_shock_nopolicy
14,2,2,0.8566,0.011,0.9693,0.4679,[],Mangaluru,exp5a_shock_nopolicy
15,3,2,0.8515,0.0071,0.983,0.4302,['drought'],Mangaluru,exp5a_shock_nopolicy
16,4,2,0.8172,0.0069,0.9837,0.2919,"['drought', 'economic_crisis']",Mangaluru,exp5a_shock_nopolicy
17,5,2,0.8101,0.0068,0.9455,0.3019,"['drought', 'economic_crisis']",Mangaluru,exp5a_shock_nopolicy
18,6,2,0.8139,0.0031,0.9477,0.3114,['economic_crisis'],Mangaluru,exp5a_shock_nopolicy
19,7,2,0.7625,0.0169,0.9508,0.1167,"['flood', 'economic_crisis']",Mangaluru,exp5a_shock_nopolicy
20,8,2,0.7639,0.0109,0.9457,0.1215,['flood'],Mangaluru,exp5a_shock_nopolicy
