step,month,year,USI,Gini,S_R,Trust,active_shocks,city,scenario
18,6,2,0.982,0.004,0.9587,0.9735,[],Mangaluru,exp3_drought
19,7,2,0.9807,0.0087,0.9499,0.9816,[],Mangaluru,exp3_drought
20,8,2,0.9853,0.004,0.9563,0.9888,[],Mangaluru,exp3_drought
21,9,2,0.9867,0.004,0.9563,0.9943,[],Mangaluru,exp3_drought
22,10,2,0.9896,0.0094,0.9701,0.9979,[],Mangaluru,exp3_drought
23,11,2,0.99,0.0092,0.9702,0.9992,[],Mangaluru,exp3_drought
24,12,2,0.9901,0.0092,0.9702,0.9995,[],Mangaluru,exp3_drought
1,1,1,0.9275,0.0087,0.9708,0.748,[],Hubballi-Dharwad,exp3_drought
2,2,1,0.9391,0.0087,0.9708,0.7942,[],Hubballi-Dharwad,exp3_drought
3,3,1,0.8354,0.0085,0.7027,0.6472,['drought'],Hubballi-Dharwad,exp3_drought
4,4,1,0.8392,0.0085,0.7157,0.6517,['drought'],Hubballi-Dharwad,exp3_drought
5,5,1,0.8475,0.0085,0.7417,0.6591,['drought'],Hubballi-Dharwad,exp3_drought
6,6,1,0.9229,0.0032,0.9915,0.7054,['drought'],Hubballi-Dharwad,exp3_drought
7,7,1,0.9345,0.0032,0.9915,0.7518,['drought'],Hubballi-Dharwad,exp3_drought
8,8,1,0.9396,0.0087,0.9708,0.7981,[],Hubballi-Dharwad,exp3_drought
9,9,1,0.9506,0.0087,0.9708,0.8424,[],Hubballi-Dharwad,exp3_drought
10,10,1,0.9601,0.0087,0.9708,0.8796,[],Hubballi-Dharwad,exp3_drought
11,11,1,0.9679,0.0087,0.9708,0.9097,[],Hubballi-Dharwad,exp3_drought
12,12,1,0.974,0.0087,0.9708,0.9342,[],Hubballi-Dharwad,exp3_drought
13,1,2,0.9796,0.0087,0.9708,0.9563,[],Hubballi-Dharwad,exp3_drought
14,2,2,0.9845,0.0087,0.9708,0.9762,[],Hubballi-Dharwad,exp3_drought
15,3,2,0.8808,0.0085,0.7027,0.8291,['drought'],Hubballi-Dharwad,exp3_drought
16,4,2,0.8848,0.0085,0.7157,0.8335,['drought'],Hubballi-Dharwad,exp3_drought
17,5,2,0.8929,0.0085,0.7417,0.8409,['drought'],Hubballi-Dharwad,exp3_drought
18,6,2,0.9679,0.0032,0.9915,0.8857,['drought'],Hubballi-Dharwad,exp3_drought
19,7,2,0.9764,0.0032,0.9915,0.9191,['drought'],Hubballi-Dharwad,exp3_drought
20,8,2,0.9759,0.0087,0.9708,0.9432,[],Hubballi-Dharwad,exp3_drought
21,9,2,0.9812,0.0087,0.9708,0.9647,[],Hubballi-Dharwad,exp3_drought
22,10,2,0.9861,0.0087,0.9708,0.9835,[],Hubballi-Dharwad,exp3_drought
23,11,2,0.9894,0.0087,0.9708,0.9955,[],Hubballi-Dharwad,exp3_drought
24,12,2,0.9903,0.0087,0.9708,0.9991,[],Hubballi-Dharwad,exp3_drought
1,1,1,0.9275,0.0087,0.9708,0.748,[],Belagavi,exp3_drought
2,2,1,0.9391,0.0087,0.9708,0.7943,[],Belagavi,exp3_drought
3,3,1,0.9272,0.0032,0.9916,0.7206,['drought'],Belagavi,exp3_drought
4,4,1,0.9388,0.0032,0.9916,0.7669,['drought'],Belagavi,exp3_drought
5,5,1,0.9504,0.0032,0.9916,0.8133,['drought'],Belagavi,exp3_drought
6,6,1,0.9617,0.0032,0.9916,0.8586,['drought'],Belagavi,exp3_drought
7,7,1,0.971,0.0032,0.9916,0.896,['drought'],Belagavi,exp3_drought
8,8,1,0.9716,0.0087,0.9708,0.9246,[],Belagavi,exp3_drought
9,9,1,0.9775,0.0087,0.9708,0.9479,[],Belagavi,exp3_drought
10,10,1,0.9827,0.0087,0.9708,0.969,[],Belagavi,exp3_drought
11,11,1,0.9873,0.0087,0.9708,0.9871,[],Belagavi,exp3_drought
12,12,1,0.9898,0.0087,0.9708,0.9971,[],Belagavi,exp3_drought
13,1,2,0.9903,0.0087,0.9708,0.9993,[],Belagavi,exp3_drought
14,2,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp3_drought
15,3,2,0.9785,0.0032,0.9916,0.9256,['drought'],Belagavi,exp3_drought
16,4,2,0.9878,0.0032,0.9916,0.9627,['drought'],Belagavi,exp3_drought
17,5,2,0.993,0.0032,0.9916,0.9836,['drought'],Belagavi,exp3_drought
18,6,2,0.9965,0.0032,0.9916,0.9979,['drought'],Belagavi,exp3_drought
19,7,2,0.9969,0.0032,0.9916,0.9994,['drought'],Belagavi,exp3_drought
20,8,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp3_drought
21,9,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp3_drought
22,10,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp3_drought
23,11,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp3_drought
24,12,2,0.9904,0.0087,0.9708,0.9995,[],Belagavi,exp3_drought
